First Level Heading,Second Level Heading,Third Level Heading,Definition (Simplified),Definition (Traditional HK)
人口学词典,章节 1 • 基本概念,104,"研究人口现象同经济和社会现象之间的关系，形成了人口学的又一分支学科。一些作者采用经济人口学1 (economic demography) 和社会人口学2 (social demography) 这两个术语。人口学也研究人口素质3 (population quality) 。这一术语可用于各种社会属性和个人特征。在另一种稍微不同的意义上，该术语主要是指属于群体遗传学4 (population genetics) 的遗传性状(910-3)的分配和传递。人类生态学5 (human ecology) 研究群落的分布和组织，特别是竞争过程和合作过程的作用，它的部分内容与人口学是共通的。人文地理学7 (human geography) 与人口学的研究领域和方法论更加交融。生物计量学6 (biometry 或 biometrics) 和流行病学8 (epidemiology) 也是如此，它们将统计方法应用于各种形式的生物医学研究。
备注：群体遗传学不同于人类遗传学。人类遗传学只研究人类的可遗传特性的传递，而群体遗传学则对植物、动物和人类的遗传特质的分配和传递都加以研究。",章節 1 • 基本概念,"研究人口現象同經濟和社會現象之間的關係，形成了人口學的又一分支學科。一些作者採用經濟人口學1 (economic demography) 和社會人口學2 (social demography) 這兩個術語。人口學也研究人口素質3 (population quality) 。這一術語可用於各種社會屬性和個人特徵。在另一種稍微不同的意義上，該術語主要是指屬於羣體遺傳學4 (population genetics) 的遺傳性狀(910-3)的分配和傳遞。人類生態學5 (human ecology) 研究羣落的分佈和組織，特別是競爭過程和合作過程的作用，它的部分內容與人口學是共通的。人文地理學7 (human geography) 與人口學的研究領域和方法論更加交融。生物計量學6 (biometry 或 biometrics) 和流行病學8 (epidemiology) 也是如此，它們將統計方法應用於各種形式的生物醫學研究。
備註：羣體遺傳學不同於人類遺傳學。人類遺傳學只研究人類的可遺傳特性的傳遞，而羣體遺傳學則對植物、動物和人類的遺傳特質的分配和傳遞都加以研究。"
人口学词典,章节 1 • 基本概念,105,最后，还有人口理论1 (population theories) 研究。不要把人口理论同理论人口学(102-5)混淆起来。人口理论用于阐释或者预言人口变化同经济、社会、心理或其他因素变化之间的相互影响；它只是纯粹观念上的探讨。人口理论有时构成人口政策2 (population policy) (参阅930)的基础，人口政策是关于用以影响人口变化的措施的。,章節 1 • 基本概念,最後，還有人口理論1 (population theories) 研究。不要把人口理論同理論人口學(102-5)混淆起來。人口理論用於闡釋或者預言人口變化同經濟、社會、心理或其他因素變化之間的相互影響；它只是純粹觀念上的探討。人口理論有時構成人口政策2 (population policy) (參閲930)的基礎，人口政策是關於用以影響人口變化的措施的。
人口学词典,章节 1 • 基本概念,110,"人口学中所用的一个基本统计单位1 (statistical unit) 是个人2 (individual或person) 。人头2 (head) 这一词语也曾经使用，但是现在基本上不再使用。户3 (household) 是一社会经济单位，它由生活在一起的个人组成。户在统计上的定义是多种多样的。按照国际通用标准的定义，户是由共同享有住宅(120-1)和主要膳食的一群个人组成的。过去曾经使用灶3 (hearth) 一词，说明过去一户的成员经常共用一个炉灶。户的分类也是因国家不同和调查目的不同而不一样。最常见的分类是把户分为两种类型：个人户4 (private households) 和集体户5 (collective households) 。独居生活的个人，作为单身户6 (one-person household) 。寄膳宿人7 (boarder) 是指与户中其他成员没有亲属关系，而且也不是佣人，但经常在这一户中用膳的人。寄宿人8 (lodger或roomer) 则不常在户中用膳。这两类人在统计时可以列入户中，也可以不列入。
备注：当个人户的各个成员是亲属时，则叫作家庭户。 集体户可以包括由住在专门设立的机构(如医院、监狱等)中的人组成的集体户。它也可以包括住在集体宿舍(120-1*)而不是住在机关中的无亲属关系的人。但是，近来国际通用定义把户和户内人口一词仅限为个人户，而对不住在户中的人则另有称呼。",章節 1 • 基本概念,"人口學中所用的一個基本統計單位1 (statistical unit) 是個人2 (individual或person) 。人頭2 (head) 這一詞語也曾經使用，但是現在基本上不再使用。户3 (household) 是一社會經濟單位，它由生活在一起的個人組成。户在統計上的定義是多種多樣的。按照國際通用標準的定義，户是由共同享有住宅(120-1)和主要膳食的一羣個人組成的。過去曾經使用灶3 (hearth) 一詞，説明過去一户的成員經常共用一個爐灶。户的分類也是因國家不同和調查目的不同而不一樣。最常見的分類是把户分為兩種類型：個人户4 (private households) 和集體户5 (collective households) 。獨居生活的個人，作為單身户6 (one-person household) 。寄膳宿人7 (boarder) 是指與户中其他成員沒有親屬關係，而且也不是傭人，但經常在這一户中用膳的人。寄宿人8 (lodger或roomer) 則不常在户中用膳。這兩類人在統計時可以列入户中，也可以不列入。
備註：當個人户的各個成員是親屬時，則叫作家庭户。 集體户可以包括由住在專門設立的機構(如醫院、監獄等)中的人組成的集體户。它也可以包括住在集體宿舍(120-1*)而不是住在機關中的無親屬關係的人。但是，近來國際通用定義把户和户內人口一詞僅限為個人户，而對不住在户中的人則另有稱呼。"
人口学词典,章节 1 • 基本概念,111,"如果一个个人户(110-4)中住了几个人，则称这些人为该户的成员1 (members of the household) ，其中有一个人是户主2 (head of the household) 。至于以谁为户主，则没有统一规定；有时，户主可以是主要挣钱的人3 (principal earner) 。在多数普查表中，有一个项目是户内各个成员同户主的亲属关系4 (relationship) (114-3*)。这样就能够区分出复合户5 (composite households 或 complex households) 中的各个集群。复合户包含一个以上的生物学家庭或核心家庭(113-1)的成员。复合户可以分解为几个核心6 (nuclei) ，其中有一个是基本核心7 (primary nucleus) ，其余的为从属核心8 (secondary nuclei) 。这些核心更常称为家庭(112-1)。包括户主的家庭被称作基本家庭9 (primary family) ，其余为从属家庭10 (secondary family) 。户的规模11 (household size) 是指户中拥有的人数。
备注：householder一词，有时也用以表示户主。户主一词，经常见到，如户主比，是指按年龄、性别或其他特征划分的户主数与相应类别的人口数之比。 核心也叫作姻缘家庭单位。",章節 1 • 基本概念,"如果一個個人户(110-4)中住了幾個人，則稱這些人為該户的成員1 (members of the household) ，其中有一個人是户主2 (head of the household) 。至於以誰為户主，則沒有統一規定；有時，户主可以是主要掙錢的人3 (principal earner) 。在多數普查表中，有一個項目是户內各個成員同户主的親屬關係4 (relationship) (114-3*)。這樣就能夠區分出複合户5 (composite households 或 complex households) 中的各個集羣。複合户包含一個以上的生物學家庭或核心家庭(113-1)的成員。複合户可以分解為幾個核心6 (nuclei) ，其中有一個是基本核心7 (primary nucleus) ，其餘的為從屬核心8 (secondary nuclei) 。這些核心更常稱為家庭(112-1)。包括户主的家庭被稱作基本家庭9 (primary family) ，其餘為從屬家庭10 (secondary family) 。户的規模11 (household size) 是指户中擁有的人數。
備註：householder一詞，有時也用以表示户主。户主一詞，經常見到，如户主比，是指按年齡、性別或其他特徵劃分的户主數與相應類別的人口數之比。 核心也叫作姻緣家庭單位。"
人口学词典,章节 1 • 基本概念,112,家庭1 (family) (参阅113和115)是与户不同的另一种单位，必须把家庭同户(110-3)严格区分。家庭主要是根据因结婚、生育或领养而形成或产生的关系所确定的。这些关系都由法律和风俗习惯加以规定。其基本关系是通过婚姻而形成的夫妇关系，以及存在于双亲2 (parents) ，即父亲3 (father) 和母亲4 (mother) 及其子女5 (children) ，即儿子6 (sons) 和女儿7 (daughters) 之间的关系。,章節 1 • 基本概念,家庭1 (family) (參閲113和115)是與户不同的另一種單位，必須把家庭同户(110-3)嚴格區分。家庭主要是根據因結婚、生育或領養而形成或產生的關係所確定的。這些關係都由法律和風俗習慣加以規定。其基本關係是通過婚姻而形成的夫婦關係，以及存在於雙親2 (parents) ，即父親3 (father) 和母親4 (mother) 及其子女5 (children) ，即兒子6 (sons) 和女兒7 (daughters) 之間的關係。
人口学词典,章节 1 • 基本概念,113,"双亲及其子女，有时叫作生物家庭1 (biological family) 或核心家庭1 (nuclear family) 。兄弟2 (brothers) 和姐妹3 (sisters) ，不分性别，合称为亲兄弟姐妹4 (sibs) 或称同胞兄弟姐妹4 (siblings) 。只同母或只同父者，称作异父(异母)兄弟5 (half-brothers) 和异父(异母)姐妹6 (half-sisters) 。扩大家庭7 (extended family) 是更大的家庭单位，通常由数个核心家庭合成。纵向扩大家庭8 (vertically extended family) 是指三代及以上家庭成员生活在一起或者非常邻近，而横向扩大家庭9 (horizontally extended family) 是指兄弟姐妹及其配偶子女共同生活在一起。纵向扩大家庭有不同的特殊情况，其中一种是主干家庭10 (stem family) ，指只有一名子女（继承者）在婚后和配偶子女一起继续与父母同住。
备注：简单家庭和基本家庭二词，常为生物学家庭和核心家庭二词的同义语。在某种限定的意义上，如在生育率分析中，生物学家庭一词可以是指父母及其亲生子女，而不包括领养的子女。 复合家庭和联合家庭二词，常为扩大家庭的同义词。在最一般的意义上，扩大家庭也可以指一个具有亲属关系的集群的全体成员。",章節 1 • 基本概念,"雙親及其子女，有時叫作生物家庭1 (biological family) 或核心家庭1 (nuclear family) 。兄弟2 (brothers) 和姐妹3 (sisters) ，不分性別，合稱為親兄弟姐妹4 (sibs) 或稱同胞兄弟姐妹4 (siblings) 。只同母或只同父者，稱作異父(異母)兄弟5 (half-brothers) 和異父(異母)姐妹6 (half-sisters) 。擴大家庭7 (extended family) 是更大的家庭單位，通常由數個核心家庭合成。縱向擴大家庭8 (vertically extended family) 是指三代及以上家庭成員生活在一起或者非常鄰近，而橫向擴大家庭9 (horizontally extended family) 是指兄弟姐妹及其配偶子女共同生活在一起。縱向擴大家庭有不同的特殊情況，其中一種是主幹家庭10 (stem family) ，指只有一名子女（繼承者）在婚後和配偶子女一起繼續與父母同住。
備註：簡單家庭和基本家庭二詞，常為生物學家庭和核心家庭二詞的同義語。在某種限定的意義上，如在生育率分析中，生物學家庭一詞可以是指父母及其親生子女，而不包括領養的子女。 複合家庭和聯合家庭二詞，常為擴大家庭的同義詞。在最一般的意義上，擴大家庭也可以指一個具有親屬關係的集羣的全體成員。"
人口学词典,章节 1 • 基本概念,114,"从同一祖先2 (progenitor或ancestor) 经由共同血统1 (descent) 形成亲属关系的人，叫作血缘亲属3 (blood relatives) 或叫作遗传亲属3 (genetic relatives) ，也使用亲属3 (kin) 和亲属群3 (kinship group) （就总体而言）这样的词语。亲属的亲疏程度4 (degree of relationship) 一般按照经过几代可以追溯到共同的祖先来计算。不过实际上有多种不同的计算方法。每一步的基本关系都是子女对父母的子女关系5 (filial relation) (参阅112-6*和112-7*)，这种关系同父母身份6 (parenthood) (112-2*)，即一对夫妇或一个父亲或一个母亲对其子女7 (offspring或progeny) 的关系正好相反。血缘关系一定要区别于姻亲关系8 (relationship by marriage) ，姻亲关系是夫妇当中的一方同另一方亲属之间的关系。
备注：在某些国家中，有姻亲关系的人可以叫作姻亲。",章節 1 • 基本概念,"從同一祖先2 (progenitor或ancestor) 經由共同血統1 (descent) 形成親屬關係的人，叫作血緣親屬3 (blood relatives) 或叫作遺傳親屬3 (genetic relatives) ，也使用親屬3 (kin) 和親屬羣3 (kinship group) （就總體而言）這樣的詞語。親屬的親疏程度4 (degree of relationship) 一般按照經過幾代可以追溯到共同的祖先來計算。不過實際上有多種不同的計算方法。每一步的基本關係都是子女對父母的子女關係5 (filial relation) (參閲112-6*和112-7*)，這種關係同父母身份6 (parenthood) (112-2*)，即一對夫婦或一個父親或一個母親對其子女7 (offspring或progeny) 的關係正好相反。血緣關係一定要區別於姻親關係8 (relationship by marriage) ，姻親關係是夫婦當中的一方同另一方親屬之間的關係。
備註：在某些國家中，有姻親關係的人可以叫作姻親。"
人口学词典,章节 1 • 基本概念,115,"把家庭1 (family) (参阅112-1)作为人口研究的单位来表示一个户(110-3)或一户的一部分时需要给以专门的定义；目的不同，定义也会有所不同。一个统计家庭1 (statistical family)  或普查家庭1 (census family) (113-1)；而在另一些国家中，其定义则可能以家庭核心2 (family nucleus) 为基础。所谓家庭核心可以包括一对无子女的夫妇，或一对夫妇和一个或多个未婚子女，或父母一方和二个或多个未婚子女。这些人既可构成普查家庭，也可构成这样一个家庭的核心。已婚夫妇和他们的生物学子女一起居住被称作完整或传统家庭3 (tranditional family) ，与此相反地，不完全家庭4 (broken family) 是指由于死亡，离婚，分居或遗弃而失去了双亲之一的家庭。父母一方分居或丧偶并与子女一起居住的家庭也叫作单亲家庭4 (single parent family) 。父母一方分居或丧偶但没有与子女一起居住的家庭也有特殊的称谓，在德语中被称作残留家庭5 (residual family (“Restfamilie”)) 。当这些家庭在一个户中居住时，它们被称作家庭户6 (family household) 。
备注：在美国，一个次家庭是指那些有或没有18岁以下子女夫妇的家庭或父母有一个或多个18岁以下未婚子女的家庭，他们居住在一户中与户主或其配偶有亲属关系，但次家庭不包括户主及其配偶。在英国，基本家庭单位的成员包括父母及其子女、父母的亲兄弟姐妹和直系长辈。",章節 1 • 基本概念,"把家庭1 (family) (參閲112-1)作為人口研究的單位來表示一個户(110-3)或一户的一部分時需要給以專門的定義；目的不同，定義也會有所不同。一個統計家庭1 (statistical family)  或普查家庭1 (census family) (113-1)；而在另一些國家中，其定義則可能以家庭核心2 (family nucleus) 為基礎。所謂家庭核心可以包括一對無子女的夫婦，或一對夫婦和一個或多個未婚子女，或父母一方和二個或多個未婚子女。這些人既可構成普查家庭，也可構成這樣一個家庭的核心。已婚夫婦和他們的生物學子女一起居住被稱作完整或傳統家庭3 (tranditional family) ，與此相反地，不完全家庭4 (broken family) 是指由於死亡，離婚，分居或遺棄而失去了雙親之一的家庭。父母一方分居或喪偶並與子女一起居住的家庭也叫作單親家庭4 (single parent family) 。父母一方分居或喪偶但沒有與子女一起居住的家庭也有特殊的稱謂，在德語中被稱作殘留家庭5 (residual family (“Restfamilie”)) 。當這些家庭在一個户中居住時，它們被稱作家庭户6 (family household) 。
備註：在美國，一個次家庭是指那些有或沒有18歲以下子女夫婦的家庭或父母有一個或多個18歲以下未婚子女的家庭，他們居住在一户中與户主或其配偶有親屬關係，但次家庭不包括户主及其配偶。在英國，基本家庭單位的成員包括父母及其子女、父母的親兄弟姐妹和直系長輩。"
人口学词典,章节 1 • 基本概念,116,"在人口学文献中，一代人1 (generation) 一词具有明确的意义。它是指在某一时期内(通常为按日历计算的一年)出生的一群人。同批人2 (cohort) （也译作“队列”）一词是指在某一具体时间内经历了某一事件的一群人。例如，出生队列就是116—1所说的一代人的同义词；结婚队列是指在某一定时期内结婚的一群人等等。在人口学中，一代人3 (generation) 一词也可以象在家谱学中那样，用来表示具有116—1所指的一群同代人的后代。因此一群移民的子女往往称作第二代9 (second generation) 。我们偶尔也会用到第三代或第四代。每代人根据年龄有不同的名称，比如青年代6 (young and rising generation) ，中年代7 (middle-aged generation) 或壮年代7 (generation in the prime of life) ，以及老年代8 (older generation) 。这些名称的年龄范围比较模糊，使用时需要说明。在出生率较低或较高的历史时期出生的同批人被称作出生不足或生育低谷期时代人11 (low-birth-rate cohorts) （或生育高峰期时代人10 (high-birth-rate cohorts) —俗称“婴儿潮”时代人）。有时候，考虑一代人只限于沿着一个性别，如男性一代4 (male generation) 或父系一代4 (paternal generation) 是指男性一代人的儿子；女性一代5 (female generation) 或母系一代5 (maternal generation) 。当计算一代人的长短或平均世代间隔(713-1)时，就要用到这种区分。
备注：同批人分析或队列分析一词用来表示一种分析资料的方法，这种方法用于研究各个同批人的一生的经历，或在其他具体时期中的经历。为了征兵的目的，在某一年应当征召入伍的一群男子，有时称之为该年的一期应征士兵。在美国，class一词也用来表示某年在某学校或某大学完成学习的一群学生。 由于第一次世界大战期间出生率下降，特别是在法国，文献中有时会使用法语术语“classes creuses”。",章節 1 • 基本概念,"在人口學文獻中，一代人1 (generation) 一詞具有明確的意義。它是指在某一時期內(通常為按日曆計算的一年)出生的一羣人。同批人2 (cohort) （也譯作“隊列”）一詞是指在某一具體時間內經歷了某一事件的一羣人。例如，出生隊列就是116—1所説的一代人的同義詞；結婚隊列是指在某一定時期內結婚的一羣人等等。在人口學中，一代人3 (generation) 一詞也可以象在家譜學中那樣，用來表示具有116—1所指的一羣同代人的後代。因此一羣移民的子女往往稱作第二代9 (second generation) 。我們偶爾也會用到第三代或第四代。每代人根據年齡有不同的名稱，比如青年代6 (young and rising generation) ，中年代7 (middle-aged generation) 或壯年代7 (generation in the prime of life) ，以及老年代8 (older generation) 。這些名稱的年齡範圍比較模糊，使用時需要説明。在出生率較低或較高的歷史時期出生的同批人被稱作出生不足或生育低谷期時代人11 (low-birth-rate cohorts) （或生育高峯期時代人10 (high-birth-rate cohorts) —俗稱“嬰兒潮”時代人）。有時候，考慮一代人只限於沿着一個性別，如男性一代4 (male generation) 或父系一代4 (paternal generation) 是指男性一代人的兒子；女性一代5 (female generation) 或母系一代5 (maternal generation) 。當計算一代人的長短或平均世代間隔(713-1)時，就要用到這種區分。
備註：同批人分析或隊列分析一詞用來表示一種分析資料的方法，這種方法用於研究各個同批人的一生的經歷，或在其他具體時期中的經歷。為了徵兵的目的，在某一年應當徵召入伍的一羣男子，有時稱之為該年的一期應徵士兵。在美國，class一詞也用來表示某年在某學校或某大學完成學習的一羣學生。 由於第一次世界大戰期間出生率下降，特別是在法國，文獻中有時會使用法語術語“classes creuses”。"
人口学词典,章节 1 • 基本概念,120,"一所住宅1 (dwelling) 、一个住宅单位1 (dwelling unit) 或住所1 (living quarters) ，都是统计概念，用以表示适合一户人(110-3)使用的居住设施。住宅的大小，以住宅的房间2 (room) 数或住宅的平面面积3 (surface area) 来计算。居住的拥挤程度4 (degree of crowding) 是住宅大小和居住人数的函数。拥挤标准是用来区分过度拥挤的住宅5 (over crowded dwellings) 和未充分使用的住宅6 (insufficiently occupied dwellings) 。未使用的住宅7 (unoccupied dwelling) 指的是长期或者暂时未用来居住的住宅。
备注：一所住宅可以是一座私人房屋或其中的一部分，或一片公寓中的一所公寓。在美国住宅还划分为一户结构和多户结构，凡不属于户的成员的人都算作住在集体宿舍之中。在住房统计中也有按层数统计。在欧洲，底层通常不予计算，而在美国则把底层叫作第一层。 厨房是否计算在房间数内，没有固定的规定。",章節 1 • 基本概念,"一所住宅1 (dwelling) 、一個住宅單位1 (dwelling unit) 或住所1 (living quarters) ，都是統計概念，用以表示適合一户人(110-3)使用的居住設施。住宅的大小，以住宅的房間2 (room) 數或住宅的平面面積3 (surface area) 來計算。居住的擁擠程度4 (degree of crowding) 是住宅大小和居住人數的函數。擁擠標準是用來區分過度擁擠的住宅5 (over crowded dwellings) 和未充分使用的住宅6 (insufficiently occupied dwellings) 。未使用的住宅7 (unoccupied dwelling) 指的是長期或者暫時未用來居住的住宅。
備註：一所住宅可以是一座私人房屋或其中的一部分，或一片公寓中的一所公寓。在美國住宅還劃分為一户結構和多户結構，凡不屬於户的成員的人都算作住在集體宿舍之中。在住房統計中也有按層數統計。在歐洲，底層通常不予計算，而在美國則把底層叫作第一層。 廚房是否計算在房間數內，沒有固定的規定。"
人口学词典,章节 1 • 基本概念,121,"住宅的使用者可以是房屋的所有者1 (owner) ，也可以是租赁者2 (tenant) ，后者从所有者那里租赁住宅，也称为房客，租赁者称为房东1 (landlord) 。把住宅转租给他人的租赁者，叫作第一租赁者5 (principal tenant) ，或二房东。再租赁者3 (sub-tenant) 是从租赁者那里租赁住宅的人，也称二房客。占据自己无权使用的住宅的人，叫作占用者4 (squatter) 。
备注：住宅或单元房间可以带家具出租，也可不带家具出租，分别称之为带家具的住宅和不带家具的住宅。",章節 1 • 基本概念,"住宅的使用者可以是房屋的所有者1 (owner) ，也可以是租賃者2 (tenant) ，後者從所有者那裏租賃住宅，也稱為房客，租賃者稱為房東1 (landlord) 。把住宅轉租給他人的租賃者，叫作第一租賃者5 (principal tenant) ，或二房東。再租賃者3 (sub-tenant) 是從租賃者那裏租賃住宅的人，也稱二房客。佔據自己無權使用的住宅的人，叫作佔用者4 (squatter) 。
備註：住宅或單元房間可以帶傢俱出租，也可不帶傢俱出租，分別稱之為帶傢俱的住宅和不帶傢俱的住宅。"
人口学词典,章节 1 • 基本概念,130,人口统计1 (population statistics或demographic statistics) 一词是指根据观察3 (observation) 所得到的有关人口的数字资料2 (numerical data) 。用适当的表格(206-1)收集4 (collected) 观察结果后，对资料加以校订5 (edited) 和复核5 (verified) ，以去掉明显的自相矛盾的地方，再将这些资料进行汇总6 (tabulated) 为某些具有共同特征的组7 (groups) 或类8 (class) 。数据处理9 (data processing) 包括介于收集到统计分析10 (statistical analysis) 之间的各个步骤(132-1)。,章節 1 • 基本概念,人口統計1 (population statistics或demographic statistics) 一詞是指根據觀察3 (observation) 所得到的有關人口的數字資料2 (numerical data) 。用適當的表格(206-1)收集4 (collected) 觀察結果後，對資料加以校訂5 (edited) 和複核5 (verified) ，以去掉明顯的自相矛盾的地方，再將這些資料進行彙總6 (tabulated) 為某些具有共同特徵的組7 (groups) 或類8 (class) 。數據處理9 (data processing) 包括介於收集到統計分析10 (statistical analysis) 之間的各個步驟(132-1)。
