First Level Heading,Second Level Heading,Third Level Heading,Definition
Multilingual Demographic Dictionary,Chapter 1 • General concepts,113,"Parents and their children are sometimes referred to as the biological family1, or nuclear family1 . Brothers2 and sisters3, without distinction of sex are called sibs4 or siblings4 . Siblings with only one parent in common are called half-brothers5 or half-sisters6. Extended families7 are larger family units generally composed of combinations of nuclear families. The vertically extended family8★ consists of three or more generations living in the same household or very close to each other. The horizontally extended family9★ involves siblings with their spouses and their children living together. The vertically extended family can generate special types such as the stem family10★ in which only one of the children (the heir) continues to reside with the parents after marriage, together with the heir’s spouse and their own children.
Note:The term simple family and elementary family are frequent synonyms for the terms biological or nuclear family. In a restricted sense, such as in fertility analyses, the term biological family may refer to parents and their own children, excluding adopted children. The terms composite family and joint family are frequent synonyms for the term extended family. In the most general sense of the term, an extended family may refer to all members of a kinship group."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,114,"Persons related through common descent1 from the same progenitor2 or ancestor2 are called blood relatives3 or genetic relatives3 . The terms kin3 and in an aggregate sense kinship group3 are also used. The degree of relationship4 is generally computed by reference to the number of steps which are necessary before a common ancestor is reached, but there are many different methods of computation. The fundamental relation in each of these steps is the filial relation5 (cf. 112-6* and 112-7*) of child to parent, which is the reciprocal of parenthood6 (112-2*) i.e. the relation of a couple or of a father or a mother to offspring7 or progeny7 . Blood relationship must be distinguished from relationship by marriage8, which marriage establishes between one spouse and the kin of the other.: wife’s family of origin are in-laws to husband and vice versa.
Note:Descent, n. - descendant, n.: one linked through descent Ancestor, n. - ancestral, adj. Relative, n. - related, adj. - relationship, n.: the state of being related. The term relative is used for persons related by blood or marriage.Kin, n. and adj. - kinship, n.: the state of being kin. Relatives is sometimes also used for the collection of all kin. Progeny, n.: this term may also be used for all of the descendants of a common ancestor. In certain countries persons related by marriage may be referred to as in-laws"
Multilingual Demographic Dictionary,Chapter 1 • General concepts,115,"The family1 (cf. 112-1) as a unit in demographic studies representing all or part of a household (110-3) needs to be specifically defined, and definitions for different purposes may vary. A statistical family1 or census family1 generally consists of all members of a household who are related through blood, adoption or marriage. A household may, or may not include a family. A statistical family cannot comprise more than one household, although a household may include more than one family. In some countries the definition of a statistical family may approximate to the biological family (113-1); in others the definition may be based on the family nucleus2 consisting of either a married couple without children, a married couple with one or more never-married children or one parent with one or more never-married children. These may either form the census family itself or be the core of such a family. Married couples living with their biological children are called intact or sometimes traditional families3★.  By contrast, a broken family4★ is one in which one of the parents has been lost by death, divorce, separation or desertion. Families where one parent, separated or widowed, lives with her children may be also be named single parent families4★. Married couples, widowed or separated people who, at the time of the declaration, have no more children living in the household, may have special name, like in Germany, residual family (“Restfamilie”)5★. When these types of families are living within a household, they are called family household6★.
Note:In the United States of America, a sub-family is a married couple with or without children, or a parent with one or more never-married children, under 18 years of age, living as members of a household and related to but not including the head of the household and his wife. In Great Britain, the primary family unit consists of parents and their children, the parents’ sibs and ancestors."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,116,"In demographic literature, the term generation1 has been given a precise meaning and refers to a group of persons born within a specified period of time, generally taken as a calendar year. The term cohort2 denotes a group of persons who experience a certain event in a specified period of time: thus birth cohort is a synonym for generation in the sense of 116-1, a marriage cohort is a group of persons married within a defined period, etc. In demography as in genealogy the term generation3 may also be used to denote the descendants of a group of persons who are themselves a generation in the sense of 116-1. Thus the children of a group of migrants are often referred to as the second generation9★. Occasionally we also use the expression third or fourth generation. Generations can be qualified according to their current age as, for example, the young and rising generation6★, the middle-aged generation7★ or the generation in the prime of life7★  and the older generation8★ while the age limits are often vague and therefore require clarification. Cohorts of people born during historical periods related to low birth rates (or high) can be referred as birth-dearth or low-birth-rate cohorts11★ (or high-birth-rate cohorts10★—more colloquially baby-boomers). Occasionally consideration is restricted to lines of descent through one sex only, thus a male generation4 or paternal generation4 are the sons of a generation of males, a female generation5 or maternal generation5 the daughters of a generation of females. These distinctions are normally used when the length of a generation or mean interval between successive generations is calculated. (cf. 713-1).
Note:Cohort, n.: the term cohort analysis is used to denote a method of analyzing data, in which the experience of individual cohorts is studied throughout their lives, or other specified periods.For purposes of military service the number of men who become liable to conscription in a given year is sometimes called the class of that year. In the United States the same term is used for a group of students who complete their studies at a particular school or university in a particular year. Because of the depletion of births during the First World war, particularly in France, the French term “classes creuses” is sometimes used in the literature."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,120,"A dwelling1, a dwelling unit1, or living quarters1 are statistical abstractions denoting housing accommodations appropriate for occupation by one household (110-3). The size of a dwelling is measured by the number of its rooms2 or by its surface area3. The degree of crowding4 is a function of the size of the dwelling and the number of its inhabitants. Crowding standards are applied to distinguish overcrowded dwellings5 and insufficiently occupied dwellings6 . An unoccupied dwelling7 is a dwelling which is not used for residence either permanently or occasionally.
Note:A dwelling may consist of a private house, or part thereof, or a flat or an apartment which forms part of a block of flats or tenement house. In the United States of America a distinction is made between a one-household structure and a multiple-household structure, and all persons who are not members of households are regarded as living in group quarters. Statistics of houses by the number of floors or stories are sometimes provided. It should be noted that in Europe, the ground floor is not generally counted, whereas in the United States of America it is called the first floor. There is no general rule as to whether or not the kitchen is included in the number of rooms. Overcrowded, adj. - overcrowding, n."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,121,"The occupier of a dwelling may be its owner1 or a tenant2 who rents it from an owner, who is then called landlord1. A tenant who rents a dwelling to a sub-tenant is called the principal tenant5★. A sub-tenant3 is a person who rents from a tenant. A person occupying a dwelling to which he or she has no legal title is called a squatter4 .
Note:A dwelling or apartment may be rented with or without furniture in which case it is respectively called a furnished dwelling or an unfurnished dwelling."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,130,"The terms population statistics1 or demographic statistics1 refer to numerical data2 about populations, which are based on observations3 . After such observations have been collected4 on appropriate forms (206-1), the documents are edited5 and verified5 to eliminate obvious inconsistencies. The data are tabulated6 into certain groups7 or classes8 with common characteristics. Data processing9 includes all the steps between collecting and statistical analysis10★ (132-1).
Note:Statistics, n. - statistical, adj. - statistician, n.: specialist in statistics. Collect, v. - collection, n. Edit, v. - editing, n. Verify, v. - verification, n. Tabulate, v. - tabulation, n. Process, v. - processing, n."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,131,"Data are usually referred to as raw data1 or crude data1 prior to their processing and tabulation and basic data1 or primary data1 after processing and tabulation. Basic data usually consist of series2 of absolute numbers3 which are put together in the form of statistical tables4 . In such tables the data are generally classified with respect to certain variables5 or variates5 such as age, number of children, etc., or with respect to certain attributes6 or characteristics6 (i.e. sex, marital status, etc.). Where data are classified with respect to several variables or attributes simultaneously the tables are called cross-tabulations7 or contingency tables7 . Summary tables8 give information in less detail than do individual tables9 .
Note:When the data relate to individuals (110-2) as their unit of analysis they may be referred to as micro-data. Aggregate data or macro-data relate to a unit of analysis other than an individual, for example, a nation or an administrative unit within a nation. Micro-data can be derived from several sources such as a field survey (203-5) or a sample of vital registration records. A new source of micro-data is the census public use sample, which is a systematic or a random sample of census returns that is made available for analytical purposes to interested individuals. A table which presents the distribution of a single variable or attribute within a population is generally called a frequency table."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,132,"Using the basic data generally involves two phases. Analysis1 aims at isolating the components of the observed numbers (size, structure, extraneous factors and the phenomenon under investigation); synthesis2 is the process of recombining the disaggregated components in various ways. Either phase involves the calculation3 or computation3 of indices4 which may be denoted by various names (cf. § 133). In contrast to the basic data, these indices are referred to as results6 or synthetic indices5★. In a more restricted sense an index7 (pl. indexes or indices) or index number7 is a ratio showing the value of a given quantity relative to a base8, which is usually taken as 100. Some indices are good indicators9 of a complex situation; thus the infant mortality rate is sometimes used as an indicator of the health status of a population.
Note:Analysis, n. - analytical, adj. - analyze, v. Calculate, b. - calculation, n. - calculator, n.: a machine with minimal to modest data storage capabilities designed to facilitate a modest amount of arithmetic and statistical calculating.Compute, v. - computation, n. - computer, n.: a machine system designed to effect the transmission, storage and calculations of large data sets; it permits arithmetic and statistical calculations as well as logical processing of data. In a dated sense, the terms calculator and computer were used to designate the person(s) engaged in the computations."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,133,"One of the first stages of analysis (132-1) consists of relating the population totals or number of events to other totals or numbers. The resulting indices are given various names. A ratio6★, also used for various purposes, is the quotient obtained by dividing quantities of the same kind. When the dividend and divisor belong to the same kind but different categories (men and women, children and women, different age-groups, for example) an other terminology might be used in non English languages, relating both quantities with a specific ratio1 (like a sex ratio). A proportion2 is a ratio which indicates the relation in magnitude of a part to the whole. A percentage3 is a proportion expressed per hundred. A rate4 is a special type of ratio used to indicate the relative frequency5 of the occurrence of a particular event within a population or a sub-population in a specified period of time, usually one year. Although this usage is recommended, the term has steadily acquired a wider meaning and is often incorrectly used as a synonym for ratio (e.g. labor force participation rate, which is actually a proportion).
Note:Proportion, n. - proportional, adj. Rates are generally given per thousand, and where the term ""rate"" is used without additional qualification ""per thousand"" is generally understood. Some rates, however, are given per ten thousand, per one hundred thousand, or per million e.g. cause-specific death rates (421-10). On other occasions rates may be given per person or per hundred. The word ""rate"" is sometimes omitted, thus one may find the expression ""a mortality of ten per thousand,"" but this is not recommended. The total fertility rate (cf 639-4) is the sum of age-specific fertility rates (cf 633-9) over the age reproductive period and thus lost its inverse temporal dimension (per year). The difference is as important as between length and surface or velocity and acceleration. The term synthetic index (cf 132-5) is preferred in some languages to avoid the confusion with the inverse temporal dimension (per year) of a rate: number of demographic events divided by the time exposure or person-years. If used, the term rate in the expression ’’total fertility rate’’ refers to the implicit ’’per woman’’, which is not enough to qualify as a rate but enough for a dimensionless ratio."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,134,"The relative frequency (133-5) of a non-renewable event is often regarded as an empirical measure of the probability1 of occurrence of that event. This presumes that all the individuals who appear in the denominator have been exposed to risk3 in some way, i.e. there must have been a chance2 or risk2 that the event in question could happen to them. The use of the term ""risk"" does not imply that the event in question is in any way unwanted; thus the term ""risk of marriage"" is used. The population is often divided into different sub-groups, in which the risk of the event in question is less variable between individuals than in the population as a whole; the subgroup is more homogeneous4 with respect to the risk than the relatively heterogeneous5 whole population. Rates calculated for such subgroups are called specific rates6 as opposed to crude rates (136-8) which apply to the population as a whole. General rates7 sometimes involve an age restriction, as in the instance of general fertility rates (633-8).
Note:Probability, n. - probable, adj. Homogeneous, adj. - homogeneity, n. Heterogeneous, adj. - heterogeneity, n."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,135,"Age-specific rates1 are computed for single years of age or for age groups (age-group specific rate2★ or age group-specific rate2★). Duration-specific rates3 take into account the time elapsed since a baseline event4 or event-origin4 such as marriage or a previous birth. Central rates10 are obtained by dividing the number of events during a year, or some other period (often five years) either by the average population6 or mid-year population6 or by the number of person-years7 of exposure to the event in question during that year or period; the number of person-years is the sum, expressed in years, of the exposure time for all individuals in the observed group, over the year or period. The term rate is sometimes used also for another type of measure, obtained by dividing the number of non-renewable events in a year or a period of years by the size of the cohort considered at the beginning of the year or period; this measure is sometimes called an attrition probability5 or more simply a probability5, and contrasted with the central rate, defined earlier. In this paragraph, the word ""period"" has referred to a length of time. In the expression period rates8, however, the word is used in its chronological meaning and refers to a specific calendar year or group of years; it is opposed to cohort rate9 or generation rate9.
Note:The word quotient, used in French for this type of rate, has sometimes been used in English."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,136,"Data are called provisional1 if they are based on incomplete or insufficiently controlled observations. They are replaced by final2 data when the observations are complete. Rates based on such data are called provisional rates3 and final rates4 respectively. Where information becomes available after figures have already been published, revised rates5 may be issued. The expression corrected rate6 usually implies that defective data or inappropriate methods have yielded results which are either misleading or of limited value for the purpose in hand and that an effort has been made to correct this, e.g., correction for underenumeration, correction for migration, correction for seasonal movement. Standardized rates7 or adjusted rates7 are designed to make it possible to compare different populations with respect to a variable, e.g. fertility or mortality, where the influence of another variable e.g. age, is held constant. The term corrected rate7 has been used by some demographers as a synonym for standardized rate. When the data do not permit direct estimation of the rates (small population, for example), the use of standard rates9★ (cf. 403-6 for example) computed from data of good quality and applied to the real population, provides an indirect estimation of the expected number of events which can be compared with the observed number of events. Unstandardized rates are called crude rates8. Although they may be used to measure actual trends, false inferences may result from their uncritical use when populations with different structures (144-4) are compared."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,137,"Demographic indices (132-7) will in most cases relate to a particular period of observation1 ; this is true in particular of most rates (cf. 133-4). An annual rate2 will relate to a period of twelve months. Where observations are collected for a number of years and then averaged, the term mean annual rate3 or average annual rate3 is often used for the result. Where rates are calculated for periods different from a year they are converted to an annual basis4 through multiplication by an appropriate factor. Instantaneous rates5 are sometimes computed; they relate to an infinitesimal period of time, cf. for instance the instantaneous death rate (431-4) or the instantaneous rate of population growth (702-5)."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,138,"The primary objective of cohort analysis (103-4) is the study of the intensity1 and tempo2 or timing2 of demographic phenomena. The intensity of a phenomenon initiated by one non-renewable event (201-4) may be measured by either the ultimate frequency3 of occurrence for the given event or by its complement. The ultimate frequency reflects the proportion of persons who would have experienced the event, in the absence of extraneous influences, during the existence of the cohort (116-2). The intensity of a phenomenon initiated by a renewable event (201-5) such as births or migratory moves, can be measured by the mean number of events4 per person in the cohort, also in the absence of extraneous influences. Tempo or timing may be defined as the distribution over time within the cohort of the demographic events corresponding to the investigated phenomenon. The results of cross-sectional analysis or period analysis (103-5) are summarized by period measures5 — as opposed to cohort measures6 — which can be constructed in various fashions. A commonly used technique consists in attributing the observed rates pertaining to various ages or durations to a hypothetical cohort7 or synthetic cohort7 .
Note:This ultimate frequency or its complement has received various names according to the phenomenon studied: parity progression ratio (637-7), frequency of definitive celibacy (521-1) ... It is best not to use the word proportion as part of these names, and to reserve it for observed proportions. For instance, the frequency of definitive celibacy must be kept distinct from the proportion single at a given age, as recorded in a census. It is not unusual to give the same name to the observed mean number of events per person, and to the number that would have been observed in the absence of extraneous influences such as mortality. Distinct phrases should be used; for instance, the number of children ever born (637-2) can be distinguished from cumulative fertility (636-2). Because cross-sectional analysis and hypothetical cohorts were used before genuine cohort analysis, the names of period indices often seem to imply that they refer to a cohort. This usage may lead to apparent contradictions. For example, parity-specific birth probabilities may exceed one for certain years when many postponed births are made up."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,140,"The average1 or mean1 most frequently used in demography is the arithmetic average2 or arithmetic mean2 which consists of the sum of a series of quantities divided by their number.. Where the term average or mean is used without further qualification the arithmetic average is generally meant. The geometric mean3 or geometric average3 is sometimes used when all observed values are positive. It is the Nth root of the product of N values. A weighted average4 or weighted mean4 is obtained when different items are given varying importance by multiplying each item by a particular weighting factor5 or weight5. The median6 is the value of the element which divides a set7 of observations into two halves. The mode8 is the most common or frequent value in a set of observations.
Note:Average, n., can be used as an adjective. Mean, n., can be used as an adjective. Weight, n. - weigh, v. Median, n., can be used as an adjective. Mode, n., modal, adj."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,141,"The dispersion1, scatter1, variation1 or variability1 of a set of observations depends on the differences2 or deviations2 between its elements. Here only the most common measures of dispersion3 are mentioned. The range4 is the difference between the largest and the smallest values of a set of elements. The interquartile range5 is the difference between the first and the third quartiles (142-2) and contains half the observations in the set. The semi-interquartile range6, also called the quartile deviation6, which is half the interquartile range, is often taken as a measure of dispersion. The mean deviation7 or average deviation7 is the arithmetic mean (140-2) of the positive values of the deviations of the individual items from the average, the variance8 is the arithmetic mean of the squares of these deviations and the standard deviation9 is the square root of the variance.
Note:The common notation for the standard deviation is σ."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,142,"If a series of observations is arranged in ascending order, values which have below them a certain proportion of the observations are referred to as quantiles1 or order statistics1 . The median (140-6) has been previously mentioned. Other important order statistics are the quartiles2, the deciles3, and the percentiles4 or centiles4, which divide the observations into four, ten and a hundred equal parts respectively."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,143,"A variable is continuous1 in a given interval when it can take on an infinite number of values between any two points contained in the interval. In the opposite case it is said to be discontinuous2. Where a variable can take only certain isolated values it is called a discrete3 variable.
Note:Continuous, adj. - continuity, n. Discontinuous, adj. - discontinuity, n."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,144,"The arrangement of members of a population in various categories or classes of a specified attribute or variable produces a frequency distribution1, often called a distribution1 for short. The ratio of the number in the individual group or cell — the absolute frequency2 or class frequency2 — to the total number in all groups is called the relative frequency3 in that group. In demography the terms structure4 and composition4 are often used interchangeably to describe the distribution of characteristics such as age, sex, marital status, occupation, etc. Structure is sometimes used in a more restricted sense to describe the distribution of the population according to age and sex only.
Note:The term population distribution usually refers to its spatial distribution. However, when used with the name of the characteristic or attribute that is analyzed, the word distribution is a synonym for structure or composition. Thus one finds references to age distribution, age and sex composition, and age and sex structure."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,150,"When values of a demographic variable are available over time, a demographic time series1 is obtained. It is sometimes possible to decompose a time series into a trend2 around which there are fluctuations3, variations3, or deviations3 (141-2). Where such fluctuations tend to recur after certain periods, usually several years, they are called cyclical fluctuations4 or, more generally, period fluctuations4. In demography the most common period for compiling data is a year, and the fluctuations in sub-periods of a year are called seasonal fluctuations5. The fluctuations that remain after trend, cyclical, and seasonal fluctuations have been eliminated are called irregular fluctuations6. They may be due to exceptional factors such as wartime mobilization, or sometimes they are chance fluctuations7 or random fluctuations7.
Note:In a general sense the term variation may be used to describe change in any value or set of values for a variable. Periodic, adj. - period, n. - periodicity, n. cyclical, adj. - cycle, n. Random, adj.: due to chance (cf. 161-1)."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,151,"It is occasionally desirable to replace a series of figures by another series that shows greater regularity. This process is known as graduation1 or smoothing1, and it generally consists of passing a smooth curve through a number of points in the time series or other series, such as the number of persons distributed by reported age. If a free-hand curve is drawn the process is called graphic graduation2. When analytical mathematical methods are used, this is called curve fitting3. A mathematical curve is fitted to the data, possibly by the method of least squares4, which minimizes the sum of the squares of the differences between the original and the graduated series. Other methods include moving averages5 or involve the use of the calculus of finite differences6. Some of these procedures may be used for interpolation7, the estimation of values of the series at points intermediate between given values, or for extrapolation8, the estimation of values outside of the range for which it was given.
Note:Graduation, n. - graduate, v. - graduated, adj. Smoothing, n. - smooth, v. - smoothed, adj. Interpolation, n. - interpolate, v. - interpolated, adj. Extrapolation, n. - extrapolate, v. - extrapolated, adj."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,152,"It is often necessary to graduate distributions to correct the tendency of people to give their replies in round numbers1. Heaping2 or digit preference2 can be found in various duration distributions (e.g., distribution of marriage duration, breastfeeding duration or birth intervals), but is particularly frequent in age distributions and reflects a tendency for people to state their ages in numbers ending with 0, 5, or other preferred digits, but . Age heaping3 is sometimes measured with indices of age preference4. Age data must often be corrected for other forms of age misreporting5 or age reporting bias5"
Multilingual Demographic Dictionary,Chapter 1 • General concepts,153,"The numerical values of demographic functions are generally listed in tables1, such as life tables (431-1), fertility tables (634-1), or nuptiality tables (522-1). A distinction is usually made between calendar-year tables2 or period tables2 which are based upon observations collected during a limited period of time, and cohort tables3 or generation tables3 which deal with the experience of a cohort throughout its lifetime. A multiple decrement table4 illustrates the simultaneous effects of several non-renewable events, such as the effects of first marriage and death on the single population. The most used are double decrement tables4. Forecast tables5★ provide numerical values of demographic functions, like survival functions (431-6) for example, which can be used directly for population forecast (cf. 720-2). When a population is classified in two or more categories according to age, like economic status (women in the labor force or out of the labor force, for example), marital statuses, regions etc. and when continuous flows between categories are possible over time even if the individual state can usually be measured only at discrete times (waves of a longitudinal study, queries to population registers etc.), increment-decrement methods6★ or multi-state methods6★ are more appropriate."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,154,"Where insufficient data exist to establish the value of a given variable accurately, attempts may be made to estimate1 this value. The process is called estimation2 and the resulting value an estimate3. Where data are practically non-existent a conjecture4 may sometimes be made to establish the variable’s order of magnitude5 ."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,155,"Methods of graphic representation1 or diagrammatic representation1 may be used to illustrate the data. The data are represented in a figure2, graph2, statistical chart3 or map3. A schematic representation of the relationships between variables is often called a diagram4, for example the Lexis Diagram (cf. 437). A graph in which one co-ordinate axis is graduated logarithmically and the other arithmetically is called a semi-logarithmic graph5, though such graphs are often inaccurately referred to as logarithmic graphs5. A true logarithmic graph6 has both axes graduated logarithmically and is sometimes referred to as a double logarithmic graph6. A frequency distribution may be represented graphically by frequency polygons7 obtained by joining points representing class frequencies with straight lines, by a histogram8, where class frequencies are represented by the area of a rectangle with the class interval as its base, by bar charts9, in which the class frequencies are proportionate to the length of a bar or by an ogive10 representing the cumulative frequency distribution."
Multilingual Demographic Dictionary,Chapter 1 • General concepts,160,"Sampling procedures1 are used to obtain information about a population from part of the population only, instead of having to study every person (110-2). The part of the population studied is called a sample2. A population is a collection of elements3 which are the object of the investigation. A sampling unit4 may be an element or a group of elements of the population and is used for selecting samples. In demographic samples the elements are usually individuals (110-2), families (115-1), or households (110-3) and sampling units may be individuals, households, blocks of houses, municipalities or areas. The sample will consist of a number of sampling units selected in accordance with a sampling scheme5 or sampling plan5."
